color,director_name,duration,gross,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
Color,Martin Scorsese,240,116866727.0,The Wolf of Wall Street,2013,English,Usa,100000000.0,8.2,"Leonardo DiCaprio,Matthew McConaughey,Jon Favreau",138000
Color,Shane Black,195,408992272.0,Iron Man 3,2013,English,Usa,200000000.0,7.2,"Robert Downey Jr.,Jon Favreau,Don Cheadle",95000
Color ,Quentin Tarantino,187,54116191.0,The Hateful Eight,2015,English,Usa,44000000.0,7.9,"Craig Stark,Jennifer Jason Leigh,Zoë Bell",114000
Color,Kenneth Lonergan,186,46495.0,Margaret,2011,English,Usa,14000000.0,6.5,"Matt Damon,Kieran Culkin,John Gallagher Jr.",0
Color,Peter Jackson,186,258355354.0,The Hobbit: The Desolation of Smaug,2013,English,Usa,225000000.0,7.9,"Aidan Turner,Adam Brown,James Nesbitt",83000
,,183,330249062.0,Batman v Superman: Dawn of Justice,202,English,Usa,250000000.0,6.9,"Henry Cavill,Lauren Cohan,Alan D. Purwin",197000
Color,Peter Jackson,-50,303001229.0,The Hobbit: An Unexpected Journey,2012,English,Usa,180000000.0,7.9,"Aidan Turner,Adam Brown,James Nesbitt",166000
Color,Edward Hall,180,,Restless,2012,English,Uk,,7.2,"Rufus Sewell,Hayley Atwell,Charlotte Rampling",434
Color,Joss Whedon,173,623279547.0,The Avengers,2012,English,Usa,220000000.0,8.1,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",123000
Color,Joss Whedon,173,623279547.0,The Avengers,2012,English,Usa,220000000.0,8.1,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",123000
,Tom Tykwer,172,27098580.0,Cloud Atlas,2012,English,Germany,102000000.0,-7.5,"Tom Hanks,Jim Sturgess,Jim Broadbent",124000
Color,Null,158,102515793.0,The Girl with the Dragon Tattoo,2011,English,Usa,90000000.0,7.8,"Robin Wright,Goran Visnjic,Joely Richardson",54000
